SIRET,Nom de l'enseigne,nom_etab_officiel,search_query,type_activite,temporalité,Numéro et voie,Arrondissement,geo_point_2d
51205417200014,SNC LIU LAI,LA TERRASSE,SNC LIU LAI 1 PLACE LACHAMBEAUDIE Paris,Restaurant,toute_annee,1 PLACE LACHAMBEAUDIE,75012.0,"48.8358542718701, 2.3860930523320456"
82852397700019,T(H)E,THE,T(H)E 18 PLACE HENRY FRENAY Paris,Restaurant,toute_annee,18 PLACE HENRY FRENAY,75012.0,"48.84517579025058, 2.3770027034829115"
44492652100014,DENIZ,Inconnu,DENIZ 81 RUE CROZATIER Paris,Restaurant,toute_annee,81 RUE CROZATIER,75012.0,"48.85028940452154, 2.378760164144092"
80093762500013,DELICES DU COLONEL,Inconnu,DELICES DU COLONEL 8 PLACE DU COLONEL BOURGOIN Paris,Restaurant,toute_annee,8 PLACE DU COLONEL BOURGOIN,75012.0,"48.84461718418422, 2.383441819759298"
83470473600026,TOUK THAI,TOUK THAI,TOUK THAI 34 RUE TRAVERSIERE Paris,Restaurant,toute_annee,34 RUE TRAVERSIERE,75012.0,"48.848626010380734, 2.3743703569349197"
89256685200018,AU TRAMWAY,AU TRAMWAY,AU TRAMWAY 253 AVENUE DAUMESNIL Paris,Restaurant,toute_annee,253 AVENUE DAUMESNIL,75012.0,"48.837416977379135, 2.4020475413336335"
34182185800014,,Inconnu,Inconnu 1 RUE ANTOINE VOLLON Paris,Restaurant,toute_annee,1 RUE ANTOINE VOLLON,75012.0,"48.85021613025267, 2.3765519684805163"
78994026900010,LE NEMROD,LE NEMROD,LE NEMROD 206 RUE DE CHARENTON Paris,Bar,que_ete,206 RUE DE CHARENTON,75012.0,"48.84139002412894, 2.3870784091996247"
81537103400019,SASU LE NOUVEAU MONDE,Inconnu,SASU LE NOUVEAU MONDE 25 BOULEVARD SOULT Paris,Bar,toute_annee,25 BOULEVARD SOULT,75012.0,"48.837143289723564, 2.407754530868999"
48071860000012,RADU CONSTANTINE MARIUS,Inconnu,RADU CONSTANTINE MARIUS 50 BOULEVARD DE PICPUS Paris,Restaurant,toute_annee,50 BOULEVARD DE PICPUS,75012.0,"48.84348793862116, 2.4019954968228503"
88124215000012,CHEZ ADDY ET IDA,CHEZ ADDY ET IDA,CHEZ ADDY ET IDA 4 RUE JAUCOURT Paris,Restaurant,toute_annee,4 RUE JAUCOURT,75012.0,"48.846452116577474, 2.394592382603089"
81443346200011,SARL HANA,Inconnu,SARL HANA 1 RUE DE CAPRI Paris,Restaurant,toute_annee,1 RUE DE CAPRI,75012.0,"48.83550535250854, 2.3977611790354874"
